tier	why	phrase	address
1	sentence	To wrap this up, as we move from a war and violence economy to a peace and love economy, the efficiencies of love — beca	1Duhthi2ubMH1voiKHnkFVdYTjpnvTcF3Y
1	sentence	To wrap this up, as we move from a war and violence economy to a peace and love economy, the efficiencies of love — beca	1N3DDsejtBR1xdZtb3rYqaBagMV93VCkFP
1	sentence	That's right, Bitcoin will take all the energy.	1GkzM6UcWZ3SVd5dQqxXkyMtuhAsD8YAuB
1	sentence	That's right, Bitcoin will take all the energy.	1gWuQdpvxqDAwMDUTrBjUDsYorcgnS4X4
1	sentence	In so doing, our energy consumption drops to near zero because our natural tendency toward love and peace gets monetized	113A9R6msJeHJTdwJmpPvsatuPYnV6sXN4
1	sentence	In so doing, our energy consumption drops to near zero because our natural tendency toward love and peace gets monetized	18hdwRhtc46pf9V43q9chtjoN9ZEK6Mfm8
1	sentence	Poverty disappears because the fear of being poor disappears because Bitcoin allows us to fully express ourselves indivi	12gu6xwQndy1W5xqRdZy2kPpnyRmSC77Lh
1	sentence	Poverty disappears because the fear of being poor disappears because Bitcoin allows us to fully express ourselves indivi	1AGeSZyz6PaYADMHYQsRsU6NR5dAhoXRyT
1	sentence	Yes, for some, the Bitcoin rabbit hole ends up in John and Yoko's hotel room in Amsterdam during their 1969 bed-in.	1Fksja9DLfrndFRFJ7KuSnpmm3JfAPyBqc
1	sentence	Yes, for some, the Bitcoin rabbit hole ends up in John and Yoko's hotel room in Amsterdam during their 1969 bed-in.	1KLZNFCjwDu7NVfhXZmTF58rZQk725Jd95
1	sentence	Everyone will live their own experience in the rabbit hole.	138d5VyfwHTViLSjigBHZKn2EWMYuz17YM
1	sentence	Everyone will live their own experience in the rabbit hole.	18CqFFviKm67SPzmFjRGfH8zyW7k41oh29
1	sentence	We are getting our souls back and our minds.	1K2GyRWzjvvrqfxLhRn81TqXoEnbopXeAN
1	sentence	We are getting our souls back and our minds.	1Kfj8cRGBGNNXtWGd6cggsxviiLFL7n3sF
1	sentence	Stacy and I have been living in here for 10 years.	1KTB9vWmYJBNUH9EMbqxUj1JoqqeCWn7L6
1	sentence	Stacy and I have been living in here for 10 years.	163Bizz8zeD4kVD4k8aVFj6B3YYPkEEYZM
1	sentence	We've seen some shit.	1Kt9uZtsPnrsrL271KqWshKQhq59eVE2TB
1	sentence	We've seen some shit.	1K13eHoxgzMVRXoQzStNcQvXAxuGFyP7r4
1	sentence	Happy to share it all with you — the agony and ecstasy — as Bitcoin conquers fear and hate and replaces it with peace an	1BPQvo7MmJHDmqt5ToU75VBXzjUzAwnBMG
1	sentence	Happy to share it all with you — the agony and ecstasy — as Bitcoin conquers fear and hate and replaces it with peace an	165EJG9DPLVjfFooCJUMw2b2QPD1mweJxP
1	sentence	MAX KEISER	18vJn6Q6E4m2w2iCZVFvoGHTpqfLeDaWgc
1	sentence	MAX KEISER	1hEqoDxiws4Tm3UCDhj26KJGZ8C9Up7Xz
1	sentence_lower	bitcoin is toxic af	13dq2aNwjRTPDWyhd9P64e8qULYKxPB4yL
1	sentence_lower	bitcoin is toxic af	1Co6n69WEC3h5ooYdhbuB5bj669oGUYzxs
1	sentence_lower	here's the bitter truth.	1AJv4z5atxkQFGNroMhMmRHk1acgLZ5XAr
1	sentence_lower	here's the bitter truth.	1BkpvtLqCD9zwwLyjXgpgv1HsnLX2rwb9G
1	sentence_lower	bitcoin was not a reaction to the global financial crisis of 2008.	1Bf6j5Tagpcxhc4R4CWvYjmUPvojZBjjTV
1	sentence_lower	bitcoin was not a reaction to the global financial crisis of 2008.	1E2TfamfcfA5ZSEbsu7prmqz17QJ5Phnvg
1	sentence_lower	it caused it.	1tv9Dc9acSxd1jgNy1yD8iRZXyn8HSNzz
1	sentence_lower	it caused it.	1KTNfyb6rhpVP7RPMjBfE9gATywXaJ1SVJ
1	sentence_lower	really?	168UbKHqjvfTbAmfcEbAdNEanGMuNGdPyq
1	sentence_lower	really?	1s9RJs1p8rgLc4ERNHxvfLQYixH5PGjXB
1	sentence_lower	yes.	1FNoCMCFcA4fRjA3j7xxiXE6narqBr5AzD
1	sentence_lower	yes.	12Y5tCN6wFMzTn1c8mEnQ7bTJtEREYCrTM
1	sentence_lower	the markets sensed bitcoin was coming and started to crash.	1Dq3G1vzDmu1kCRmdrBdAEckz3p1s1ef9f
1	sentence_lower	the markets sensed bitcoin was coming and started to crash.	17VKLhz4dtaQv3pxqjgKA7X632Z33nD71M
1	sentence_lower	markets are like that.	1JYyQAKvTgmaGcf7aEF2paCB75Ln7N5sdD
1	sentence_lower	markets are like that.	1Cy1Q1Qev8qg1U6F6azwZstUU38WSEgvC
1	sentence_lower	they discount stuff in advance.	1LqcqnnmppxTMqJpwnbaEriUMm6wjCifg7
1	sentence_lower	they discount stuff in advance.	1oK5XC6cpovJXj1cnS63Af5g6qzysZMhK
1	sentence_lower	markets are the central nervous system of the global economy.	12yBDkQJN9T3sDntoaVnT8eu6s9ha95TcA
1	sentence_lower	markets are the central nervous system of the global economy.	1AfWReXizsACVSX5g4CibmGMooftNCFuMH
1	sentence_lower	they are the sum of all our neuroses.	1KZu4bWyNqdCaX8VyLEsikHFn8PmpwFsF
1	sentence_lower	they are the sum of all our neuroses.	19cCTi3L2CconhrmddGNUM8P4RayJj2Wu
1	sentence_lower	the cypherpunks were publishing the white paper around that time — after years of trying — and a collective panic arose 	12viocQp9w6T3ZhT5U3DN4RW1KESdUDcii
1	sentence_lower	the cypherpunks were publishing the white paper around that time — after years of trying — and a collective panic arose 	1Jg1TfJBEFhhJQcv4k7gsDDDYFdYgLdGbK
1	sentence_lower	the bitcoin rabbit hole was opening — the black hole of the cosmic now — and it had fiat markets in its sight.	1EpczmQL51mXrhVxVSTEYMKKa1cMe6QrR1
1	sentence_lower	the bitcoin rabbit hole was opening — the black hole of the cosmic now — and it had fiat markets in its sight.	1EM7ZzskMyv6Edbsd6Q6pWp1CPHTvmfzSM
1	sentence_lower	in fact, all the chaos you see around you these days is caused by bitcoin.	1HA8xkeqf9w4CRN1fxT6TGX5zd5o2vNv5t
1	sentence_lower	in fact, all the chaos you see around you these days is caused by bitcoin.	1ET8c8NXvUGtWjGhaNyF2iiNMFhpntR3HM
1	sentence_lower	and nothing could be better.	1LrWwhew4Q5SqoECZZtWm5bat6P7eJJP4o
1	sentence_lower	and nothing could be better.	1L86DM2wCjAd2WuksYA1iyjusU3Q4E4wxb
1	sentence_lower	nocoiners and shitcoiners, and even some bitcoiners, consider this view toxic.	1Lonr2WYCMUVaFT3qFe8ArtGpV81u7Uje
1	sentence_lower	nocoiners and shitcoiners, and even some bitcoiners, consider this view toxic.	12jzwj1S6cbbN5Dt5Y4a2XWFLnaEcfdChH
1	sentence_lower	everybody's complaining about "toxic bitcoin maximalists" these days.	12A7d5zVqt8EGsa3LcwphvGeBq7xZpAt6b
1	sentence_lower	everybody's complaining about "toxic bitcoin maximalists" these days.	1PWKTLRxrxtvAKEx3dfz7Th22MMwAmURTj
1	sentence_lower	look, toxicity is layer 1 of the protocol.	1JGvSpMy4k8SpBcG2t4PiPX9bV7G3is6Qo
1	sentence_lower	look, toxicity is layer 1 of the protocol.	1Dzq6c1odmAZXTrkjs1gyoGeuPBSqBKNCX
1	sentence_lower	fact:          it's layer 1 for every great thing that's ever been invented or discovered.	1HBZ7YXVmAjmSfuR5qL6EiePLMytn8uJN1
1	sentence_lower	fact:          it's layer 1 for every great thing that's ever been invented or discovered.	1Br2qVvWmWd6BHuGUefA1t6AW6PDtfLgYQ
1	sentence_lower	it's only the language of the shameless opportunists trying to cash in by riding bitcoins coattails that give it a bad n	1Kot2cTuJaFwx2nDEsjzcYV1AsTQzV2tFf
1	sentence_lower	it's only the language of the shameless opportunists trying to cash in by riding bitcoins coattails that give it a bad n	1LCLdCYxypRB3UQQiWt8MYnbJJajLfaaMq
